0.00,	0,	20
0.01,	1.03,	20
0.05,	2.58,	20
0.12,	4.64,	20
0.24,	7.22,	20
0.41,	10.3,	20
0.66,	13.9,	20
0.98,	18.0,	20
1.38,	22.7,	20
1.89,	27.8,	20
2.50,	33.5,	20
3.24,	39.7,	20
4.10,	46.4,	20
5.10,	53.6,	20
6.25,	61.4,	20
7.56,	69.6,	20
9.04,	78.4,	20
10.71,	87.7,	20
12.56,	97.5,	20
14.61,	107.,	20
16.88,	118.,	20
19.37,	130.,	20
22.09,	141.,	20
25.05,	154.,	20
28.27,	167.,	20
31.74,	180.,	20
35.50,	194.,	20
39.53,	209.,	20
43.86,	224.,	20
48.50,	239.,	20
53.45,	255.,	20
58.70,	269.,	20
64.24,	283.,	20
70.06,	297.,	20
76.13,	310.,	20
82.46,	322.,	20
89.03,	334.,	20
95.83,	345.,	20
102.83,	355.,	20
110.02,	363.,	20
117.38,	371.,	20
124.88,	378.,	20
132.50,	384.,	20
140.23,	388.,	20
148.04,	392.,	20
155.91,	394.,	20
163.82,	396.,	20
171.76,	396.,	20
179.69,	396.,	20
187.60,	394.,	20
195.48,	392.,	20
203.29,	388.,	20
211.01,	384.,	20
218.64,	378.,	20
226.14,	371.,	20
233.49,	363.,	20
240.68,	355.,	20
247.69,	345.,	20
254.49,	334.,	20
261.06,	322.,	20
267.38,	309.,	20
273.45,	296.,	20
279.25,	283.,	20
284.78,	269.,	20
290.02,	254.,	20
294.97,	240.,	20
299.62,	224.,	20
303.96,	209.,	20
308.00,	195.,	20
311.77,	181.,	20
315.26,	167.,	20
318.48,	154.,	20
321.46,	142.,	20
324.19,	130.,	20
326.68,	119.,	20
328.96,	108.,	20
331.03,	98.0,	20
332.89,	88.2,	20
334.56,	78.9,	20
336.05,	70.2,	20
337.37,	61.9,	20
338.54,	54.1,	20
339.55,	46.9,	20
340.42,	40.2,	20
341.16,	34.0,	20
341.79,	28.3,	20
342.30,	23.2,	20
342.72,	18.5,	20
343.05,	14.4,	20
343.30,	10.8,	20
343.49,	7.74,	20
343.62,	5.16,	20
343.70,	3.09,	20
343.75,	1.54,	20
343.77,	0.51,	20
343.77,	0,	20
